,Home_Team,Away_Team,Result,Link,Season,Round,League
178,Hannover 96,Dynamo Dresden,0-0,https://www.besoccer.com/match/hannover-96/sg-dynamo-dresden/202216417,2022,20,2_liga
179,Karlsruher SC,Sandhausen,0-2,https://www.besoccer.com/match/karlsruher-sc/sv-sandhausen/202216416,2022,20,2_liga
180,Nürnberg,Ingolstadt 04,0-5,https://www.besoccer.com/match/fc-nurnberg/fc-ingolstadt-04/202216426,2022,21,2_liga
181,Heidenheim,Hannover 96,3-1,https://www.besoccer.com/match/heidenheim/hannover-96/202216423,2022,21,2_liga
182,Werder Bremen,Karlsruher SC,2-1,https://www.besoccer.com/match/werder-bremen/karlsruher-sc/202216420,2022,21,2_liga
183,Sandhausen,Erzgebirge Aue,2-0,https://www.besoccer.com/match/sv-sandhausen/fc-erzgebirge-aue/202216422,2022,21,2_liga
184,Schalke 04,Jahn Regensburg,2-1,https://www.besoccer.com/match/schalke-04/ssv-jahn-regensburg/202216424,2022,21,2_liga
185,FC St. Pauli,Paderborn,2-2,https://www.besoccer.com/match/st-pauli/paderborn/202216421,2022,21,2_liga
186,Darmstadt 98,Hamburger SV,0-5,https://www.besoccer.com/match/darmstadt-98/hamburger-sv/202216418,2022,21,2_liga
187,Holstein Kiel,Fortuna Düsseldorf,1-0,https://www.besoccer.com/match/holstein-kiel/fortuna-dusseldorf/202216419,2022,21,2_liga
188,Dynamo Dresden,Hansa Rostock,1-4,https://www.besoccer.com/match/sg-dynamo-dresden/hansa-rostock/202216425,2022,21,2_liga
189,Erzgebirge Aue,Holstein Kiel,2-3,https://www.besoccer.com/match/fc-erzgebirge-aue/holstein-kiel/202216431,2022,22,2_liga
190,Hansa Rostock,Werder Bremen,1-2,https://www.besoccer.com/match/hansa-rostock/werder-bremen/202216434,2022,22,2_liga
191,Hamburger SV,Heidenheim,2-0,https://www.besoccer.com/match/hamburger-sv/heidenheim/202216427,2022,22,2_liga
192,Karlsruher SC,Nürnberg,4-1,https://www.besoccer.com/match/karlsruher-sc/fc-nurnberg/202216429,2022,22,2_liga
193,Paderborn,Dynamo Dresden,0-0,https://www.besoccer.com/match/paderborn/sg-dynamo-dresden/202216430,2022,22,2_liga
194,Jahn Regensburg,FC St. Pauli,2-3,https://www.besoccer.com/match/ssv-jahn-regensburg/st-pauli/202216433,2022,22,2_liga
195,Fortuna Düsseldorf,Schalke 04,2-1,https://www.besoccer.com/match/fortuna-dusseldorf/schalke-04/202216428,2022,22,2_liga
196,Hannover 96,Darmstadt 98,2-2,https://www.besoccer.com/match/hannover-96/darmstadt-98/202216432,2022,22,2_liga
197,Ingolstadt 04,Sandhausen,0-0,https://www.besoccer.com/match/fc-ingolstadt-04/sv-sandhausen/202216435,2022,22,2_liga
198,Dynamo Dresden,Heidenheim,1-1,https://www.besoccer.com/match/sg-dynamo-dresden/heidenheim/202216438,2022,23,2_liga
199,Schalke 04,Paderborn,2-0,https://www.besoccer.com/match/schalke-04/paderborn/202216439,2022,23,2_liga
200,Sandhausen,Hamburger SV,1-1,https://www.besoccer.com/match/sv-sandhausen/hamburger-sv/202216436,2022,23,2_liga
201,Holstein Kiel,Karlsruher SC,0-2,https://www.besoccer.com/match/holstein-kiel/karlsruher-sc/202216437,2022,23,2_liga
202,Werder Bremen,Ingolstadt 04,1-1,https://www.besoccer.com/match/werder-bremen/fc-ingolstadt-04/202216444,2022,23,2_liga
203,Nürnberg,Jahn Regensburg,2-0,https://www.besoccer.com/match/fc-nurnberg/ssv-jahn-regensburg/202216442,2022,23,2_liga
